milieu,diplome,annee,taux_chomage
National,Diplômes et certificats de l'enseignement primaire et secondaire collégial,2025,14.0
National,Diplômes de l'enseignement secondaire qualifiant,2025,24.3
National,Diplômes de l'enseignement supérieur,2025,24.1
National,"Diplômes de techniciens spécialisés et supérieurs, de techniciens, de cadres moyens",2025,27.3
National,Diplômes en qualification/spécialisation professionnelle,2025,22.3
National,Aucun diplôme,2025,4.7
National,Total,2025,13.0
Urbain,Diplômes et certificats de l'enseignement primaire et secondaire collégial,2025,16.1
Urbain,Diplômes de l'enseignement secondaire qualifiant,2025,24.2
Urbain,Diplômes de l'enseignement supérieur,2025,22.9
Urbain,"Diplômes de techniciens spécialisés et supérieurs, de techniciens, de cadres moyens",2025,27.6
Urbain,Diplômes en qualification/spécialisation professionnelle,2025,23.0
Urbain,Aucun diplôme,2025,6.7
Urbain,Total,2025,16.4
Rural,Diplômes et certificats de l'enseignement primaire et secondaire collégial,2025,9.2
Rural,Diplômes de l'enseignement secondaire qualifiant,2025,24.9
Rural,Diplômes de l'enseignement supérieur,2025,36.0
Rural,"Diplômes de techniciens spécialisés et supérieurs, de techniciens, de cadres moyens",2025,22.7
Rural,Diplômes en qualification/spécialisation professionnelle,2025,17.8
Rural,Aucun diplôme,2025,2.9
Rural,Total,2025,6.6
National,Diplômes et certificats de l'enseignement primaire et secondaire collégial,2024,14.4
National,Diplômes de l'enseignement secondaire qualifiant,2024,24.6
National,Diplômes de l'enseignement supérieur,2024,24.5
National,"Diplômes de techniciens spécialisés et supérieurs, de techniciens, de cadres moyens",2024,28.3
National,Diplômes en qualification/spécialisation professionnelle,2024,24.1
National,Aucun diplôme,2024,5.2
National,Total,2024,13.3
Urbain,Diplômes et certificats de l'enseignement primaire et secondaire collégial,2024,16.5
Urbain,Diplômes de l'enseignement secondaire qualifiant,2024,25.1
Urbain,Diplômes de l'enseignement supérieur,2024,23.2
Urbain,"Diplômes de techniciens spécialisés et supérieurs, de techniciens, de cadres moyens",2024,28.6
Urbain,Diplômes en qualification/spécialisation professionnelle,2024,25.1
Urbain,Aucun diplôme,2024,7.4
Urbain,Total,2024,16.9
Rural,Diplômes et certificats de l'enseignement primaire et secondaire collégial,2024,9.5
Rural,Diplômes de l'enseignement secondaire qualifiant,2024,22.0
Rural,Diplômes de l'enseignement supérieur,2024,37.3
Rural,"Diplômes de techniciens spécialisés et supérieurs, de techniciens, de cadres moyens",2024,22.8
Rural,Diplômes en qualification/spécialisation professionnelle,2024,18.6
Rural,Aucun diplôme,2024,3.3
Rural,Total,2024,6.8
National,Diplômes et certificats de l'enseignement primaire et secondaire collégial,2023,14.6
National,Diplômes de l'enseignement secondaire qualifiant,2023,23.3
National,Diplômes de l'enseignement supérieur,2023,25.7
National,"Diplômes de techniciens spécialisés et supérieurs, de techniciens, de cadres moyens",2023,27.9
National,Diplômes en qualification/spécialisation professionnelle,2023,23.0
National,Aucun diplôme,2023,4.9
National,Total,2023,13.0
Urbain,Diplômes et certificats de l'enseignement primaire et secondaire collégial,2023,16.7
Urbain,Diplômes de l'enseignement secondaire qualifiant,2023,22.8
Urbain,Diplômes de l'enseignement supérieur,2023,24.4
Urbain,"Diplômes de techniciens spécialisés et supérieurs, de techniciens, de cadres moyens",2023,28.3
Urbain,Diplômes en qualification/spécialisation professionnelle,2023,24.0
Urbain,Aucun diplôme,2023,7.6
Urbain,Total,2023,16.8
Rural,Diplômes et certificats de l'enseignement primaire et secondaire collégial,2023,10.2
Rural,Diplômes de l'enseignement secondaire qualifiant,2023,26.1
Rural,Diplômes de l'enseignement supérieur,2023,38.9
