milieu,province,annee,taux_activite,taux_emploi,taux_chomage
National,Agadir-Ida-Ou-Tanane,2017,41.9,36.2,13.5
National,Agadir-Ida-Ou-Tanane,2018,40.7,34.9,14.2
National,Agadir-Ida-Ou-Tanane,2019,41.9,36.3,13.3
National,Agadir-Ida-Ou-Tanane,2020,41.5,35.1,15.4
National,Agadir-Ida-Ou-Tanane,2021,40.8,34.5,15.5
National,Agadir-Ida-Ou-Tanane,2022,38.4,32.3,15.8
National,Agadir-Ida-Ou-Tanane,2023,39.4,33.1,15.9
National,Agadir-Ida-Ou-Tanane,2024,41.7,34.8,16.4
National,Agadir-Ida-Ou-Tanane,2025,41.4,35.3,14.6
Rural,Agadir-Ida-Ou-Tanane,2017,49.5,46.0,
Rural,Agadir-Ida-Ou-Tanane,2018,41.9,38.8,
Rural,Agadir-Ida-Ou-Tanane,2019,43.9,41.3,
Rural,Agadir-Ida-Ou-Tanane,2020,43.6,41.1,
Rural,Agadir-Ida-Ou-Tanane,2021,43.8,41.3,
Rural,Agadir-Ida-Ou-Tanane,2022,37.9,35.1,
Rural,Agadir-Ida-Ou-Tanane,2023,36.6,33.9,
Rural,Agadir-Ida-Ou-Tanane,2024,36.9,32.6,
Rural,Agadir-Ida-Ou-Tanane,2025,36.8,32.6,
Urbain,Agadir-Ida-Ou-Tanane,2017,40.8,34.8,14.6
Urbain,Agadir-Ida-Ou-Tanane,2018,40.5,34.4,15.1
Urbain,Agadir-Ida-Ou-Tanane,2019,41.6,35.6,14.4
Urbain,Agadir-Ida-Ou-Tanane,2020,41.2,34.3,16.9
Urbain,Agadir-Ida-Ou-Tanane,2021,40.4,33.5,16.9
Urbain,Agadir-Ida-Ou-Tanane,2022,38.4,32.0,16.9
Urbain,Agadir-Ida-Ou-Tanane,2023,39.7,33.0,16.9
Urbain,Agadir-Ida-Ou-Tanane,2024,42.2,35.1,16.9
Urbain,Agadir-Ida-Ou-Tanane,2025,41.9,35.6,15.0
National,Al Haouz,2017,49.0,47.3,3.5
National,Al Haouz,2018,49.4,47.6,3.5
National,Al Haouz,2019,48.5,46.9,3.4
National,Al Haouz,2020,46.8,43.7,6.6
National,Al Haouz,2021,47.5,45.5,4.3
National,Al Haouz,2022,45.3,43.7,3.5
National,Al Haouz,2023,45.5,43.7,3.9
National,Al Haouz,2024,43.4,41.1,5.4
National,Al Haouz,2025,44.9,42.2,6.0
Rural,Al Haouz,2017,51.1,49.5,3.1
Rural,Al Haouz,2018,51.1,49.6,3.0
Rural,Al Haouz,2019,50.0,48.5,2.9
Rural,Al Haouz,2020,48.1,45.7,5.1
Rural,Al Haouz,2021,48.8,47.0,3.7
Rural,Al Haouz,2022,46.4,45.2,2.7
Rural,Al Haouz,2023,46.2,44.7,3.3
Rural,Al Haouz,2024,43.8,42.0,4.0
Rural,Al Haouz,2025,45.7,43.7,4.5
Urbain,Al Haouz,2017,38.1,35.8,
Urbain,Al Haouz,2018,40.1,37.2,
Urbain,Al Haouz,2019,40.9,38.3,
Urbain,Al Haouz,2020,40.3,34.1,15.4
Urbain,Al Haouz,2021,40.7,37.5,
Urbain,Al Haouz,2022,39.3,36.2,
Urbain,Al Haouz,2023,42.2,39.2,
Urbain,Al Haouz,2024,41.6,36.2,12.9
Urbain,Al Haouz,2025,41.0,35.1,14.4
National,Al Hoceima,2017,52.4,48.3,7.8
National,Al Hoceima,2018,52.3,48.6,7.0
National,Al Hoceima,2019,48.2,44.1,8.4
National,Al Hoceima,2020,45.4,40.2,11.4
National,Al Hoceima,2021,50.5,45.4,10.0
National,Al Hoceima,2022,52.5,48.1,8.5
National,Al Hoceima,2023,49.9,44.8,10.2
National,Al Hoceima,2024,49.1,45.2,8.0
National,Al Hoceima,2025,48.1,44.8,6.7
Rural,Al Hoceima,2017,57.0,54.4,4.6
Rural,Al Hoceima,2018,57.3,55.0,4.0
Rural,Al Hoceima,2019,50.6,48.1,4.9
Rural,Al Hoceima,2020,47.2,43.6,7.7
Rural,Al Hoceima,2021,55.4,52.8,4.8
Rural,Al Hoceima,2022,59.2,57.0,3.7
Rural,Al Hoceima,2023,56.0,53.2,5.0
Rural,Al Hoceima,2024,54.5,52.4,3.9
Rural,Al Hoceima,2025,53.4,51.7,
Urbain,Al Hoceima,2017,43.8,37.0,15.6
Urbain,Al Hoceima,2018,42.9,36.8,14.3
Urbain,Al Hoceima,2019,43.9,37.1,15.7
Urbain,Al Hoceima,2020,42.7,35.4,17.0
Urbain,Al Hoceima,2021,42.5,33.5,21.0
Urbain,Al Hoceima,2022,41.7,33.6,19.4
Urbain,Al Hoceima,2023,39.9,31.2,21.8
Urbain,Al Hoceima,2024,40.6,33.8,16.8
Urbain,Al Hoceima,2025,39.2,33.5,14.5
National,Assa-Zag,2017,32.8,23.8,
National,Assa-Zag,2018,35.9,,
National,Assa-Zag,2019,40.2,24.8,
National,Assa-Zag,2020,42.3,31.4,
National,Assa-Zag,2021,37.1,28.5,
National,Assa-Zag,2022,34.1,27.4,
National,Assa-Zag,2023,31.2,23.0,
National,Assa-Zag,2024,33.6,23.3,
National,Assa-Zag,2025,35.3,25.0,
Urbain,Assa-Zag,2017,32.8,23.8,
Urbain,Assa-Zag,2018,35.9,,
Urbain,Assa-Zag,2019,40.2,24.8,
Urbain,Assa-Zag,2020,42.3,31.4,
Urbain,Assa-Zag,2021,37.1,28.5,
Urbain,Assa-Zag,2022,34.1,27.4,
