Périodes,,2025,2024,2023,2022,2021,2020,2019,2018,2017
Milieu,Provinces/Préfectures,,,,,,,,,
National,Al Hoceima,48.1,49.1,49.9,52.5,50.5,45.4,48.2,52.3,52.4
,Chefchaouen,58.8,60.1,58.7,60.2,58.7,49.1,52.1,54.6,55.0
,Fahs-Anjra,38.2,41.8,45.5,44.7,41.2,47.0,41.9,48.1,45.8
,Larache,46.1,45.5,46.1,47.5,49.1,46.8,42.5,43.4,42.8
,Ouezzane,47.9,47.8,50.4,52.7,54.8,46.8,43.5,44.9,47.0
,Tanger-Assilah,44.4,46.8,46.8,47.0,45.8,44.8,43.4,42.7,41.9
,Tétouan,46.9,46.7,47.0,49.3,49.7,48.0,47.2,46.8,47.3
,M'Diq-Fnideq,45.3,44.5,45.4,46.3,48.3,47.4,48.1,47.1,46.9
,Berkane,39.8,41.8,42.6,44.5,44.8,42.7,42.8,44.6,45.0
,Driouch,37.8,36.2,38.0,39.6,40.7,41.4,43.2,42.8,43.6
,Figuig,42.5,40.7,43.9,45.8,44.8,41.2,41.1,47.0,48.7
,Guercif,43.3,41.8,42.1,45.5,47.1,48.6,48.4,47.3,49.0
,Jerada,42.9,39.9,39.3,41.1,41.4,40.4,38.2,43.1,44.8
,Nador,40.0,39.7,39.1,40.5,41.9,41.3,43.2,43.9,44.4
,Oujda-Angad,39.4,40.8,39.6,41.6,40.7,41.6,42.1,42.6,44.0
,Taourirt,39.6,38.3,39.1,41.0,42.7,43.9,43.3,43.9,45.4
,Meknès,43.0,43.7,43.5,42.1,43.4,41.1,41.4,40.9,41.2
,Boulemane,37.9,38.1,37.6,39.4,41.2,40.1,41.2,38.1,39.0
,El Hajeb,46.6,47.2,45.7,45.0,44.1,42.6,42.3,43.6,46.1
,Fès,42.4,40.0,39.0,38.9,37.6,39.2,39.0,37.3,36.9
,Ifrane,50.4,48.7,48.1,50.4,48.6,43.3,45.8,47.4,50.4
,Sefrou,39.5,36.0,35.9,37.0,38.4,41.5,44.3,43.1,42.3
,Taounate,43.4,43.6,45.8,48.3,48.1,49.3,51.5,51.4,54.3
,Taza,40.9,39.5,41.0,43.4,42.6,42.9,43.3,44.4,46.5
,Moulay Yacoub,48.1,43.2,43.4,42.8,47.4,49.5,48.1,51.3,49.4
,Kénitra,44.2,44.6,46.5,46.0,46.1,46.0,47.5,49.8,50.6
,Khémisset,39.0,40.1,40.3,42.3,43.1,42.3,45.2,46.3,47.4
,Rabat,43.2,43.3,41.3,41.9,41.2,41.9,42.8,43.1,43.5
,Salé,41.8,42.0,42.9,43.1,43.5,44.0,43.5,43.9,45.0
,Sidi Kacem,42.1,44.1,46.0,46.9,45.8,45.2,48.3,48.8,49.5
,Sidi Slimane,41.6,44.9,45.7,46.0,45.6,45.3,47.2,48.6,49.7
,Skhirate-Témara,44.9,45.4,45.5,45.1,44.4,43.9,45.0,44.6,46.2
,Azilal,28.9,31.3,34.1,40.3,44.0,43.6,45.4,42.6,44.9
,Béni Mellal,37.3,38.3,38.8,40.2,43.0,41.2,42.7,40.7,42.2
,Fquih Ben Salah,41.4,40.8,41.6,42.8,44.0,44.5,46.5,45.8,46.4
,Khénifra,45.0,43.9,42.4,44.1,48.2,44.9,48.0,48.7,49.8
,Khouribga,43.7,43.4,42.6,44.0,44.1,43.9,44.2,44.1,46.3
,Benslimane,46.7,46.7,45.2,45.5,47.8,49.0,57.5,58.8,60.2
,Berrechid,47.6,47.0,45.2,44.6,47.2,46.4,50.5,49.3,49.5
,Casablanca,43.8,43.7,44.2,44.4,45.3,45.0,46.6,45.7,45.8
,El Jadida,51.5,51.8,51.7,54.0,54.5,56.0,57.3,58.6,60.3
,Médiouna,44.4,41.9,44.4,45.3,44.8,42.9,43.4,46.3,48.3
,Mohammadia,43.3,42.6,42.6,42.0,42.5,43.8,42.5,43.1,45.5
,Nouaceur,51.5,50.8,49.7,46.9,49.7,49.5,51.0,49.5,51.1
,Settat,46.6,45.6,46.8,46.1,47.1,49.9,55.1,53.5,52.4
,Sidi Bennour,54.1,55.1,54.0,60.6,60.8,59.0,63.4,67.1,68.5
,Al Haouz,44.9,43.4,45.5,45.3,47.5,46.8,48.5,49.4,49.0
,Chichaoua,39.4,39.2,38.5,42.9,47.1,47.5,49.5,50.5,51.6
,El Kelâa des Sraghna,42.4,43.7,42.2,44.4,45.6,46.5,48.2,48.1,49.5
,Essaouira,44.4,44.6,46.7,48.5,51.1,50.7,53.3,54.0,55.7
,Marrakech,43.9,43.7,43.2,42.5,43.3,43.7,44.5,44.8,44.8
,Rehamna,44.5,44.6,47.0,45.8,48.2,44.7,47.1,47.2,48.8
,Safi,44.6,46.2,46.1,48.7,50.9,50.3,47.8,50.2,49.5
,Youssoufia,40.3,41.2,41.2,46.3,46.7,47.1,46.4,46.8,44.9
,Errachidia,33.8,34.4,36.8,35.8,38.3,35.8,36.1,35.2,35.5
,Midelt,41.0,42.7,45.3,45.1,47.6,46.2,48.2,48.8,47.1
,Ouarzazate,45.3,46.3,46.6,45.8,48.1,45.0,42.8,42.2,42.3
,Tinghir,42.8,43.9,41.2,41.9,43.4,39.5,39.9,42.4,42.6
,Zagora,39.8,39.2,40.2,38.2,42.1,40.0,43.0,36.0,34.8
,Agadir-Ida-Ou-Tanane,41.4,41.7,39.4,38.4,40.8,41.5,41.9,40.7,41.9
,Chtouka-Ait Baha,43.7,43.1,42.8,42.3,45.6,43.6,45.6,49.5,48.3
,Inezgane-Ait Melloul,43.2,43.3,41.7,40.7,41.6,40.7,42.9,41.5,42.4
,Taroudannt,38.3,38.3,37.3,37.4,41.7,43.4,45.4,45.4,45.8
,Tata,34.9,35.0,30.5,29.2,33.0,35.2,36.5,38.0,36.8
,Tiznit,32.6,31.1,32.6,31.6,36.3,36.2,35.8,35.3,36.8
,Assa-Zag,35.3,33.6,31.2,34.1,37.1,42.3,40.2,35.9,32.8
,Guelmim,41.0,38.9,39.6,40.3,43.3,43.2,43.9,41.8,42.6
,Sidi Ifni,39.3,39.7,42.2,39.8,41.8,42.2,46.5,41.5,44.2
,Tan-Tan,43.7,39.9,42.8,42.8,44.2,43.6,43.8,41.3,43.0
,Boujdour,47.9,50.6,50.1,44.1,47.0,51.3,44.4,52.7,45.4
,Es-Semara,40.5,40.0,40.9,38.6,40.0,40.3,39.2,40.6,36.3
,Laâyoune,46.5,45.0,43.7,43.1,40.4,38.6,39.0,40.1,39.1
,Tarfaya,63.6,51.8,35.0,,44.1,,36.4,37.7,43.0
,Oued Ed-Dahab,59.5,61.1,60.5,58.7,54.8,55.2,64.1,69.0,71.9
Urbain,Al Hoceima,39.2,40.6,39.9,41.7,42.5,42.7,43.9,42.9,43.8
,Chefchaouen,44.1,44.9,45.1,44.0,40.9,41.0,43.2,44.6,44.4
,Fahs-Anjra,,,,,,,,,
,Larache,42.9,41.3,42.6,43.2,44.8,42.7,39.5,39.9,39.8
,Ouezzane,38.8,39.0,40.5,43.4,41.9,41.8,40.0,39.4,40.1
,Tanger-Assilah,44.5,46.7,46.8,46.8,45.7,44.5,43.2,42.3,41.3
,Tétouan,43.8,42.6,43.4,45.5,46.0,46.2,44.7,43.8,45.0
,M'Diq-Fnideq,45.2,44.8,45.5,46.5,48.2,47.5,47.7,46.9,46.8
,Berkane,39.1,40.9,41.7,43.1,43.0,41.9,40.7,42.1,41.4
,Driouch,38.2,39.3,37.1,39.6,41.4,40.9,42.3,42.3,44.2
,Figuig,39.9,39.2,39.2,41.8,38.6,38.6,37.5,40.6,40.2
,Guercif,43.7,40.0,38.4,42.7,43.9,43.9,43.7,43.4,43.8
,Jerada,41.7,38.4,37.8,38.0,39.0,36.6,34.9,37.6,38.4
,Nador,39.1,39.2,38.9,39.7,40.8,40.6,42.5,42.5,42.7
,Oujda-Angad,39.2,40.2,38.9,41.1,39.8,40.7,40.6,41.1,42.4
,Taourirt,39.2,37.5,36.7,39.5,40.3,41.4,41.5,41.8,41.3
,Meknès,42.7,43.5,43.4,41.6,43.9,40.3,40.5,40.1,40.0
,Boulemane,35.3,35.7,33.1,31.1,29.9,32.4,32.0,28.0,28.9
,El Hajeb,43.7,43.1,42.7,40.9,41.5,38.2,37.2,40.2,41.9
,Fès,42.3,39.9,38.9,38.9,37.5,38.8,38.7,37.2,36.8
,Ifrane,46.9,45.9,45.6,47.7,45.7,41.3,43.1,42.9,43.8
,Sefrou,37.2,32.8,31.2,32.6,34.8,38.1,38.7,35.8,33.8
,Taounate,35.1,34.2,33.4,35.7,35.7,40.4,40.9,35.8,38.7
,Taza,33.4,32.9,33.1,34.6,34.1,33.7,32.1,31.8,33.5
,Moulay Yacoub,46.4,36.3,36.5,37.1,39.0,39.4,35.9,45.7,44.5
,Kénitra,40.9,41.1,42.5,42.7,43.1,42.1,42.4,43.5,45.0
,Khémisset,36.2,36.4,34.6,34.3,34.5,35.0,35.3,35.4,36.7
,Rabat,43.2,43.3,41.3,41.9,41.2,41.9,42.8,43.1,43.5
,Salé,41.6,41.7,42.8,42.9,43.3,43.9,43.1,43.2,44.3
,Sidi Kacem,39.6,40.4,41.5,41.2,41.4,38.5,39.8,39.3,40.1
,Sidi Slimane,39.5,41.9,42.2,41.7,41.2,43.6,43.9,43.4,43.3
