Périodes,,2025,2024,2023,2022,2021,2020
Milieu,Diplômes,,,,,,
National,Diplômes et certificats de l'enseignement primaire et secondaire collégial,14.0,14.4,14.6,12.8,14.3,14.1
,Diplômes de l'enseignement secondaire qualifiant,24.3,24.6,23.3,21.8,21.8,19.2
,Diplômes de l'enseignement supérieur,24.1,24.5,25.7,25.9,25.4,23.9
,"Diplômes de techniciens spécialisés et supérieurs, de techniciens, de cadres moyens",27.3,28.3,27.9,27.9,28.8,26.4
,Diplômes en qualification/spécialisation professionnelle,22.3,24.1,23.0,23.0,25.5,23.6
,Aucun diplôme,4.7,5.2,4.9,4.2,4.6,5.6
,Total,13.0,13.3,13.0,11.8,12.3,11.9
Urbain,Diplômes et certificats de l'enseignement primaire et secondaire collégial,16.1,16.5,16.7,14.7,17.1,16
,Diplômes de l'enseignement secondaire qualifiant,24.2,25.1,22.8,22.1,22,19.4
,Diplômes de l'enseignement supérieur,22.9,23.2,24.4,24.9,24.5,22.4
,"Diplômes de techniciens spécialisés et supérieurs, de techniciens, de cadres moyens",27.6,28.6,28.3,28.3,29,26.3
,Diplômes en qualification/spécialisation professionnelle,23.0,25.1,24.0,24.0,26,24.1
,Aucun diplôme,6.7,7.4,7.6,6.8,7.8,8.5
,Total,16.4,16.9,16.8,15.8,16.9,15.8
Rural,Diplômes et certificats de l'enseignement primaire et secondaire collégial,9.2,9.5,10.2,8.7,8.3,9.7
,Diplômes de l'enseignement secondaire qualifiant,24.9,22.0,26.1,19.6,21.2,18.1
,Diplômes de l'enseignement supérieur,36.0,37.3,38.9,36.3,35.1,40
,"Diplômes de techniciens spécialisés et supérieurs, de techniciens, de cadres moyens",22.7,22.8,21.1,22.2,24.3,28.8
,Diplômes en qualification/spécialisation professionnelle,17.8,18.6,17.1,17.3,21.9,20.7
,Aucun diplôme,2.9,3.3,2.7,2.2,2.1,3.3
,Total,6.6,6.8,6.3,5.2,5,5.9
