Périodes,,2025,2024,2023,2022,2021,2020,2019,2018,2017
Milieu,Provinces/Préfectures,,,,,,,,,
National,Al Hoceima,6.7,8.0,10.2,8.5,10.0,11.4,8.4,7.0,7.8
,Chefchaouen,4.6,6.0,6.0,5.0,4.6,5.5,4.7,3.8,3.9
,Larache,8.7,9.1,10.1,9.6,9.2,9.2,6.5,6.5,9.1
,Ouezzane,7.4,6.4,4.9,4.3,5.5,4.5,8.4,7.2,7.2
,Tanger-Assilah,10.9,12.1,10.5,12.4,12.9,11.0,8.9,7.4,8.4
,Tétouan,11.2,12.0,12.8,11.1,11.7,13.2,11.7,11.1,11.4
,M'Diq-Fnideq,15.3,18.0,18.4,14.9,19.7,18.8,13.1,11.3,10.1
,Berkane,20.8,18.7,20.5,17.5,19.6,19.8,11.9,15.5,18.1
,Driouch,16.6,17.4,18.6,12.9,11.7,17.4,11.5,14.4,14.7
,Figuig,18.6,21.9,15.2,14.4,13.3,23.5,12.1,13.2,14.8
,Guercif,15.4,17.5,16.5,14.5,14.0,13.2,9.7,13.1,14.6
,Jerada,25.8,21.6,24.2,21.1,24.3,20.8,16.1,17.3,19.1
,Nador,21.7,20.6,19.0,18.1,18.7,21.4,12.7,13.5,15.1
,Oujda-Angad,26.1,23.3,21.5,18.8,19.8,23.7,18.0,19.7,20.7
,Taourirt,22.7,22.1,18.5,17.9,18.2,20.7,14.0,14.6,17.0
,Meknès,20.8,20.3,21.6,20.1,21.5,19.2,14.1,15.1,17.1
,Boulemane,12.2,14.0,13.3,9.5,10.9,6.8,,,
,El Hajeb,16.0,14.1,14.0,16.2,13.8,17.0,9.8,9.2,13.3
,Fès,17.5,17.8,17.9,17.2,16.8,14.9,11.9,14.3,12.5
,Ifrane,11.4,15.0,12.5,13.5,14.4,15.9,10.7,11.8,11.3
,Sefrou,16.5,15.2,14.1,11.8,9.8,9.4,7.5,8.0,8.5
,Taounate,7.9,4.3,2.7,3.4,3.6,4.2,1.6,1.5,1.5
,Taza,9.0,6.4,6.0,7.3,6.9,8.9,4.6,4.6,4.8
,Moulay Yacoub,8.4,10.6,10.1,8.0,,,,,
,Kénitra,10.3,8.3,8.8,8.8,10.4,11.0,8.3,10.0,11.4
,Khémisset,12.9,13.4,11.6,9.9,10.1,12.3,8.2,9.3,10.7
,Rabat,13.3,15.1,15.2,16.1,16.6,14.8,14.2,14.4,15.7
,Salé,17.1,16.6,14.7,13.7,15.5,15.3,14.8,14.0,16.4
,Sidi Kacem,7.7,7.9,7.3,7.1,8.4,8.6,6.4,7.1,6.9
,Sidi Slimane,11.0,10.1,9.8,7.3,9.2,14.2,9.1,11.4,12.3
,Skhirate-Témara,13.5,14.8,12.4,11.2,11.9,12.4,10.9,12.0,14.5
,Azilal,12.1,13.9,12.3,10.6,8.0,6.6,3.4,2.9,4.6
,Béni Mellal,14.9,17.8,18.3,16.5,13.6,9.1,8.1,8.1,7.6
,Fquih Ben Salah,9.6,10.2,9.2,6.9,6.5,6.3,3.9,3.7,3.3
,Khénifra,12.9,13.1,13.6,9.6,9.3,7.4,4.1,6.2,7.7
,Khouribga,7.9,8.8,10.5,8.4,9.4,7.7,6.4,7.5,7.1
,Benslimane,13.5,13.8,11.7,8.3,7.3,8.3,5.4,5.1,5.2
,Berrechid,13.0,11.9,9.7,6.8,7.7,8.7,4.3,5.1,5.8
,Casablanca,17.7,18.3,19.0,18.2,19.7,18.5,13.5,14.2,15.9
,El Jadida,12.0,12.0,12.0,11.3,13.1,10.1,9.3,8.6,8.7
,Médiouna,9.1,7.7,10.7,11.7,7.6,9.1,6.7,,9.7
,Mohammadia,12.4,11.8,12.1,13.1,14.5,12.5,11.2,11.6,14.2
,Nouaceur,13.8,15.8,14.9,11.1,10.3,8.2,8.3,7.3,6.3
