Périodes,,2025,2024,2023,2022,2021,2020,2019,2018,2017
Milieu,Provinces/Préfectures,,,,,,,,,
National,Al Hoceima,44.8,45.2,44.8,48.1,45.4,40.2,44.1,48.6,48.3
,Chefchaouen,56.1,56.5,55.2,57.2,56.0,46.4,49.6,52.6,52.8
,Fahs-Anjra,33.4,38.5,41.0,40.9,38.6,43.1,41.4,44.4,43.4
,Larache,42.1,41.4,41.5,42.9,44.6,42.5,39.7,40.5,38.9
,Ouezzane,44.3,44.7,47.9,50.4,51.7,44.7,39.8,41.7,43.6
,Tanger-Assilah,39.6,41.2,41.9,41.2,39.9,39.9,39.5,39.6,38.4
,Tétouan,41.7,41.1,41.0,43.9,43.9,41.7,41.6,41.6,41.9
,M'Diq-Fnideq,38.4,36.5,37.0,39.4,38.8,38.5,41.8,41.8,42.2
,Berkane,31.5,34.0,33.9,36.7,36.1,34.3,37.7,37.7,36.8
,Driouch,31.5,29.9,30.9,34.5,36.0,34.2,38.3,36.7,37.2
,Figuig,34.5,31.8,37.2,39.2,38.8,31.5,36.1,40.8,41.5
,Guercif,36.6,34.5,35.1,38.9,40.5,42.2,43.7,41.1,41.8
,Jerada,31.9,31.3,29.8,32.4,31.4,32.0,32.1,35.6,36.2
,Nador,31.3,31.5,31.7,33.2,34.0,32.5,37.8,38.0,37.7
,Oujda-Angad,29.1,31.3,31.1,33.8,32.7,31.8,34.5,34.2,34.9
,Taourirt,30.6,29.8,31.8,33.7,35.0,34.8,37.2,37.5,37.7
,Meknès,34.0,34.9,34.1,33.6,34.1,33.3,35.5,34.8,34.1
,Boulemane,33.3,32.8,32.6,35.6,36.7,37.3,39.1,36.3,36.7
,El Hajeb,39.1,40.5,39.3,37.7,38.0,35.3,38.2,39.6,39.9
,Fès,34.9,32.9,32.0,32.2,31.3,33.3,34.3,31.9,32.3
,Ifrane,44.7,41.4,42.1,43.6,41.6,36.5,40.9,41.8,44.7
,Sefrou,33.0,30.5,30.8,32.6,34.7,37.6,41.0,39.6,38.7
,Taounate,39.9,41.7,44.6,46.7,46.4,47.2,50.6,50.6,53.5
,Taza,37.2,37.0,38.5,40.3,39.7,39.1,41.4,42.3,44.3
,Moulay Yacoub,44.1,38.6,39.1,39.3,44.7,47.3,46.1,49.8,47.0
,Kénitra,39.6,40.9,42.4,41.9,41.3,40.9,43.6,44.8,44.9
,Khémisset,33.9,34.7,35.6,38.1,38.7,37.1,41.5,41.9,42.3
,Rabat,37.4,36.8,35.0,35.2,34.3,35.7,36.7,36.9,36.7
,Salé,34.6,35.0,36.6,37.2,36.8,37.3,37.1,37.7,37.6
,Sidi Kacem,38.9,40.6,42.6,43.6,41.9,41.3,45.2,45.3,46.1
,Sidi Slimane,37.0,40.3,41.2,42.6,41.4,38.9,42.9,43.1,43.6
,Skhirate-Témara,38.9,38.6,39.8,40.0,39.1,38.4,40.0,39.2,39.5
,Azilal,25.4,27.0,29.9,36.1,40.5,40.7,43.9,41.4,42.8
,Béni Mellal,31.8,31.5,31.7,33.6,37.2,37.4,39.3,37.4,39.0
,Fquih Ben Salah,37.5,36.6,37.8,39.8,41.1,41.7,44.7,44.1,44.8
,Khénifra,39.2,38.1,36.6,39.9,43.7,41.6,46.0,45.7,46.0
,Khouribga,40.3,39.6,38.1,40.3,40.0,40.5,41.3,40.8,43.0
,Benslimane,40.4,40.2,39.9,41.7,44.3,45.0,54.3,55.7,57.0
,Berrechid,41.4,41.4,40.8,41.5,43.6,42.4,48.3,46.8,46.6
,Casablanca,36.1,35.7,35.8,36.3,36.3,36.7,40.3,39.2,38.6
,El Jadida,45.3,45.5,45.5,47.9,47.3,50.4,51.9,53.5,55.1
,Médiouna,40.4,38.7,39.6,40.0,41.4,39.0,40.5,43.1,43.6
,Mohammadia,37.9,37.6,37.4,36.5,36.4,38.3,37.7,38.1,39.0
,Nouaceur,44.4,42.8,42.2,41.7,44.5,45.5,46.8,45.9,47.9
